ORGID,Region,Wing,Unit,NextLevel,Name,Type,DateChartered,Status,Scope,UsrID,DateMod,FirstUsr,DateCreated,DateReceived,OrgNotes
21,"NER","CT","000",22,"CONNECTICUT WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","08/01/1983","converted","10/29/1998","02/23/2004",""
22,"NER","CT","001",265,"CONNECTICUT WING HQ","WING","01/01/1900","ACTIVE","WING","converted","03/31/1998","converted","10/29/1998","02/23/2004","Unit contact:  Wing Administrator - 860-262-5847"
23,"NER","CT","058",2623,"186TH COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","chapmanke","08/23/2013","converted","10/29/1998","02/23/2004",""
24,"RMR","MT","008",394,"BEARTOOTH COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","wrightjm2","03/29/2010","converted","10/29/1998","02/23/2004",""
26,"MER","DE","000",27,"DELAWARE WING HQ SQ","SENIOR","01/01/1900","ACTIVE","UNIT","converted","07/01/1983","converted","10/29/1998","02/23/2004",""
27,"MER","DE","001",687,"DELAWARE WING HQ","WING","01/01/1900","ACTIVE","WING","RSKONEKI","08/26/1999","converted","10/29/1998","02/23/2004",""
28,"MER","DC","053",555,"FAIRFAX COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","jgriggs","08/28/2003","converted","10/29/1998","02/23/2004",""
29,"SER","FL","024",975,"STUART COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","ferrisdj","04/17/2012","converted","10/29/1998","02/23/2004",""
31,"SER","FL","054",975,"LANTANA CADET SQUADRON","CADET","01/01/1900","ACTIVE","UNIT","becka2","03/20/2014","converted","10/29/1998","02/23/2004","Squadron Website is FL054.FLWG.us or httpunits.flwg.usfl054.aspx"
32,"SER","FL","066",418,"ST PETERSBURG CADET SQDN","CADET","01/01/1900","ACTIVE","UNIT","levitchja","03/11/2009","converted","10/29/1998","02/23/2004",""
35,"SER","FL","335",1388,"VENICE CADET SQDN","CADET","01/01/1900","ACTIVE","UNIT","jonesgd","01/05/2001","converted","10/29/1998","02/23/2004",""
37,"SER","FL","361",979,"MARION COUNTY COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","jonesgd","01/05/2001","converted","10/29/1998","02/23/2004",""
38,"SER","GA","000",39,"GEORGIA WING HQ SQ","SENIOR","01/01/1900","ACTIVE","UNIT","converted","05/01/1983","converted","10/29/1998","02/23/2004",""
39,"SER","GA","001",179,"GEORGIA WING HQ","WING","01/01/1900","ACTIVE","WING","joneskc5","12/07/2010","converted","10/29/1998","02/23/2004",""
40,"SER","GA","045",1257,"SANDY SPRINGS CADET SQDN","CADET","01/01/1900","ACTIVE","UNIT","boylantr","06/30/2011","converted","10/29/1998","02/23/2004","No Squadron meeting the Wednesday before Thanksgiving or the Wednesday between Christmas and New Years."
41,"SER","GA","098",2679,"COLUMBUS COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","greenwoodrj","04/11/2015","converted","10/29/1998","02/23/2004","Please contact the Squadron Commander (Michael.J.Karabasz.GA-098@gawg.cap.gov) before attending the first time as the location may change due to training requirements."
42,"SER","GA","112",1258,"GWINNETT COUNTY COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","joneskc5","12/07/2010","converted","10/29/1998","02/23/2004","Seniors (Adults) Meet the 1st, 2nd and 4th Monday of each month 1930-2100. Cadets (Youth) Meet every Thursday from 1830-2100. Gwinnett Composite is one of the Largest Squadrons in the Country. Gwinnett has won many Unit awards including the 2009 Squadron of Distinction given to the Top Squadron in the country.  "
43,"GLR","MI","190",2021,"GRAND RAPIDS SENIOR SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","schneidergn","10/19/2012","converted","10/29/1998","02/23/2004","Meetings held at the West Michigan Aviation Academy on the 1st and 3rd Tuesday of each month from 7pm to 9pm."
45,"RMR","ID","000",46,"IDAHO WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","deanj","08/12/2010","converted","10/29/1998","02/23/2004","This squadron is for members not assigned to a squadron."
46,"RMR","ID","001",226,"IDAHO WING HQ","WING","01/01/1900","ACTIVE","WING","deanj","08/12/2010","converted","10/29/1998","02/23/2004",""
48,"GLR","IL","000",1078,"ILLINOIS WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","08/01/1983","converted","10/29/1998","02/23/2004",""
49,"GLR","IL","006",1078,"GROUP 1 HQ","GROUP","01/01/1900","ACTIVE","GROUP","becka2","11/05/2013","converted","10/29/1998","02/23/2004","Group 1 Headquarters meets as needed via face to face or conference call."
50,"GLR","IL","011",554,"LT COL JULIUS JACKSON COMPOSITE SQUADRON","COMPOSITE","01/01/1900","ACTIVE","UNIT","oethrl","10/05/2015","converted","10/29/1998","02/23/2004",""
53,"GLR","IL","036",2625,"SPRINGFIELD COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","galerj","09/23/2013","converted","10/29/1998","02/23/2004","We meet on an active military base.  Please have state-issued photo ID, vehicle registration, and proof of insurance (all current) ready for inspection by the security personnel at the entrance gate."
54,"GLR","IL","049",1082,"PALWAUKEE COMP SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","jgriggs","08/26/2004","converted","10/29/1998","02/23/2004",""
55,"GLR","IN","000",1094,"INDIANA WING RESERVE SQUADRON","COMPOSITE","01/01/1900","ACTIVE","UNIT","jgriggs","10/12/2007","converted","10/29/1998","02/23/2004","This is a holding squadron only."
57,"GLR","IN","036",2267,"VALPARAISO COMPOSITE SQUADRON","COMPOSITE","01/01/1900","ACTIVE","UNIT","becka2","10/24/2014","converted","10/29/1998","02/23/2004",""
58,"NCR","IA","000",844,"IOWA RESERVE SQ","SENIOR","01/01/1900","ACTIVE","UNIT","jgriggs","11/06/2006","converted","10/29/1998","02/23/2004",""
59,"GLR","KY","000",1101,"KENTUCKY WING RESERVE SQUADRON","SENIOR","01/01/1900","ACTIVE","UNIT","jgriggs","04/17/2008","converted","10/29/1998","02/23/2004",""
61,"SWR","LA","000",194,"LOUISIANA WG HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","05/01/1983","converted","10/29/1998","02/23/2004",""
63,"NER","ME","000",682,"Inactives","SENIOR","01/01/1900","ACTIVE","UNIT","converted","05/01/1983","converted","10/29/1998","02/23/2004","Place holder squadron for inactive members"
65,"MER","MD","000",66,"MARYLAND WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","08/01/1983","converted","10/29/1998","02/23/2004",""
66,"MER","MD","001",687,"MARYLAND WING HQ","WING","01/01/1900","ACTIVE","WING","converted","08/10/1998","converted","10/29/1998","02/23/2004","Wing Supply Closet open on Drill Meeting days.  Saturday meetings open from 10am-2pm; Monday meetings open 7-9pm."
67,"NER","MA","000",1475,"HEADQRTS MASS WING HQ SQ","SENIOR","01/01/1900","ACTIVE","UNIT","kjacobs","05/30/2002","converted","10/29/1998","02/23/2004",""
69,"GLR","MI","248",2037,"KELLOGG FIELD SENIOR SQDN ","SENIOR","01/01/1900","ACTIVE","UNIT","schneidergn","10/19/2012","converted","10/29/1998","02/23/2004","Meeting first Wednesday of every month. Guests/visitors need to contact us before attending."
70,"GLR","MI","265",2021,"GRAND RAPIDS METRO CADET SQUADRON","CADET","01/01/1900","ACTIVE","UNIT","schneidergn","10/19/2012","converted","10/29/1998","02/23/2004","The Grand Rapids Metro Cadet Squadron meets at the West Michigan Aviation Academy"
72,"NCR","MN","000",575,"MINNESOTA WG HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","hament","12/29/1998","converted","10/29/1998","02/23/2004","For information regarding this unit, please contact the Minnesota Wing Administrator, George Supan at 651-291-0462."
73,"NCR","MN","010",1111,"GRAND RAPIDS COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","jonesgd","01/05/2001","converted","10/29/1998","02/23/2004","SENIORS MEET First and Third Tuesday of every month 1900-2030 CADETS MEET TUESDAY 1800-2030"
74,"NCR","MN","115",1111,"TRI COUNTY SENIOR SQUADRON","SENIOR","01/01/1900","ACTIVE","UNIT","jgriggs","01/31/2008","converted","10/29/1998","02/23/2004",""
75,"SER","MS","000",846,"MISSISSIPPI WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","hament","12/29/1998","converted","10/29/1998","02/23/2004",""
77,"NCR","MO","000",885,"MISSOURI WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","hament","12/29/1998","converted","10/29/1998","02/23/2004",""
78,"RMR","MT","000",394,"MONTANA WING  HOLDING SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","jgriggs","04/11/2007","converted","10/29/1998","02/23/2004",""
79,"RMR","MT","018",394,"MISSOULA COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","wrightjm2","03/29/2010","converted","10/29/1998","02/23/2004","Enter via Main Entrance on East side of building."
80,"MER","DC","000",555,"NATL CAPITAL WING HQ CAP","SENIOR","01/01/1900","ACTIVE","UNIT","converted","08/01/1983","converted","10/29/1998","02/23/2004",""
81,"SER","TN","008",1203,"KNOXVILLE COMPOSITE SQDN 1","COMPOSITE","01/01/1900","ACTIVE","UNIT","jgriggs","07/19/2004","converted","10/29/1998","02/23/2004","Meetings are held at Fort Hill Baptist Church"
82,"NCR","NE","000",83,"NEBRASKA WG HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","05/01/1983","converted","10/29/1998","02/23/2004",""
83,"NCR","NE","001",244,"NEBRASKA WING HQ","WING","01/01/1900","ACTIVE","WING","ddaniel","09/08/1999","converted","10/29/1998","02/23/2004","Temporarily relocated to the Fremont Cadet Squadron Headquarters building in Fremont Ne after flood at Camp Ashland.  Will move back to Camp Ashland in near future."
84,"PCR","NV","000",617,"NEVADA WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","06/01/1983","converted","10/29/1998","02/23/2004",""
85,"NER","NJ","000",86,"NEW JERSEY WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","siroisjv","12/24/2003","converted","10/29/1998","02/23/2004",""
86,"NER","NJ","001",265,"NEW JERSEY WING HQ","WING","01/01/1900","ACTIVE","WING","RSKONEKI","10/06/1999","converted","10/29/1998","02/23/2004","Office Hours: Mon, Wed-Fri 0900-1800 and Tues 1200-2100"
87,"NER","NJ","002",986,"CUMBERLAND COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","jwright","02/11/2003","converted","10/29/1998","02/23/2004","Please park in the back of the building and use the stairwell that leads to the basement floor.  A CAP uniform is required, if you do not have one please wear jeans and a black t-shirt."
88,"NER","NJ","037",986,"GLOUCESTER COUNTY COMPOSITE SQDN.","COMPOSITE","01/01/1900","ACTIVE","UNIT","jgriggs","05/16/2007","converted","10/29/1998","02/23/2004","Please park in Parking Lot B to avoid any parking violations. A CAP uniform is required, if you do not have one please wear jeans and a black t-shirt. Uniforms are Blues - 1st Monday of the Month, BDUs - 2nd and 3rd Monday(s) and PT Gear - 4th Monday of each Month. Testing on 1st  3rd Mondays. Aerospace education is 3rd Monday of the Month."
89,"NER","NJ","059",986,"JACK SCHWEIKER COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","jonesgd","01/08/2001","converted","10/29/1998","02/23/2004","Uniforms are 1st & 3rd = Blues, 2nd = BDUs & 4th = PT gear. Testing on 1st & 3rd Mondays"
90,"NER","NJ","067",1119,"BAYSHORE COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","wrightjm2","12/15/2003","converted","10/29/1998","02/23/2004","Please contact Maj Robert D Cartwright at (732) 539-3115 for information and meeting location."
91,"NER","NJ","078",86,"GROUP 221","GROUP","01/01/1900","ACTIVE","GROUP","hament","12/23/1998","converted","10/29/1998","02/23/2004","Group 221 HQ is not a cadet squadron.  "
92,"NER","NJ","097",91,"TETERBORO COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","jonesgd","01/08/2001","converted","10/29/1998","02/23/2004","As you face the building go to the right (or east) side of the building and enter the open door halfway down the right side past the loading dock.  You will enter a warehouse. Once inside, follow the signs to CAP meeting room."
93,"NER","NY","000",94,"NEW YORK WING HQ SQ","SENIOR","01/01/1900","ACTIVE","UNIT","converted","06/01/1983","converted","10/29/1998","02/23/2004",""
94,"NER","NY","001",265,"NEW YORK WING HQ","WING","01/01/1900","ACTIVE","WING","converted","09/17/1996","converted","10/29/1998","02/23/2004","Arriving Aircraft request taxi to Zulu Tiedown - call HQ for ramp access"
96,"NER","NY","162",691,"UTICA CADET SQUADRON","CADET","01/01/1900","ACTIVE","UNIT","jgriggs","08/09/2007","converted","10/29/1998","02/23/2004","First Tuesday of every month - Blues"
97,"SER","AL","001",179,"ALABAMA WING HQ","WING","01/01/1900","ACTIVE","WING","converted","08/31/1998","converted","10/29/1998","02/23/2004",""
98,"NER","NY","247",1530,"BRIAN M. MOONEY CADET SQDN","CADET","01/01/1900","ACTIVE","UNIT","jgriggs","11/10/2004","converted","10/29/1998","02/23/2004","Main Entrance to Building - Room B207"
99,"NER","NY","288",1530,"LT. QUENTIN ROOSEVELT CADET SQUADRON","CADET","01/01/1900","ACTIVE","UNIT","becka2","11/18/2013","converted","10/29/1998","02/23/2004",""
100,"NER","NY","354",207,"CONDOR COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","jonesgd","03/27/2001","converted","10/29/1998","02/23/2004",""
101,"NER","NY","379",1131,"FALCON SENIOR SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","jonesgd","03/27/2001","converted","10/29/1998","02/23/2004","Park in visitors area, sign in at security desk. This a federal building, do not wander,but go directly to the conference room."
102,"NER","NY","384",1131,"BROOKLYN TECH CADET SQDN. #1","CADET","01/01/1900","ACTIVE","UNIT","jwright","10/19/2001","converted","10/29/1998","02/23/2004","Scheduled meeting dates for academic year 2014-15. Please always confirm with the squadron commander before attending a meeting.19SEP1403OCT1410OCT1417OCT1424OCT1407NOV1414NOV1421NOV1405DEC1412DEC1419DEC1426DEC1402JAN1509FEB1516FEB1520FEB1527FEB1506MAR1513MAR1520MAR1527MAR1503APR1510APR1517APR1524APR1501MAY1508MAY15 (AP week)15MAY15 (AP week)22MAY15 (AP week)29MAY1505JUN1512JUN1519JUN15"
103,"NER","NY","387",751,"SULLIVAN COUNTY FLIGHT","FLIGHT","01/01/1900","ACTIVE","UNIT","neesemk","03/26/2015","converted","10/29/1998","02/23/2004","Turn right from circle at airport, it will be the last building on the left. This was the Fire Training Center. Go through gate and enter building on the right. Members are usually there by 600 PM (1800 hrs)  meetings end at 900 PM (2100 hrs)."
105,"NER","NY","395",751,"ULSTER COUNTY FLIGHT","FLIGHT","01/01/1900","ACTIVE","UNIT","becka2","03/10/2015","converted","10/29/1998","02/23/2004",""
107,"MER","NC","000",208,"NC WING HQ SQ","SENIOR","01/01/1900","ACTIVE","UNIT","crawfordde","05/31/2004","converted","10/29/1998","02/23/2004",""
108,"MER","NC","002",208,"GROUP 2 HQ","GROUP","01/01/1900","ACTIVE","GROUP","RSKONEKI","09/07/1999","converted","10/29/1998","02/23/2004","GROUP MEETS AT NC WING HQ ON THE 2ND SAT OF THE SECOND MONTH OF EACH QUARTER FOLLOWING THE NC WING CCs COMMANDER CALL."
111,"MER","NC","107",108,"RANDOLPH COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","douglassrw","07/09/2005","converted","10/29/1998","02/23/2004",""
112,"MER","NC","124",1610,"HICKORY COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","carrjo","10/06/2005","converted","10/29/1998","02/23/2004",""
115,"GLR","OH","000",359,"OHIO RESERVE SQUADRON","SENIOR","01/01/1900","ACTIVE","UNIT","fsides","01/25/2007","converted","10/29/1998","02/23/2004",""
117,"PCR","OR","000",930,"OREGON WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","joneskc5","11/01/2010","converted","10/29/1998","02/23/2004",""
118,"SER","FL","372",975,"BOCA RATON COMPOSITE SQUADRON","COMPOSITE","01/01/1900","ACTIVE","UNIT","gjones","05/07/2001","converted","10/29/1998","02/23/2004","Enter walk-thru gate North end of airport, park in front of Lynn Univ. Aviation Bldg."
119,"NER","PA","000",1027,"PENNSYLVANIA WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","bodnaram","08/29/2005","converted","10/29/1998","02/23/2004",""
120,"NER","PA","065",2340,"WILLIAMSPORT COMPOSITE SQDN 401","COMPOSITE","01/01/1900","ACTIVE","UNIT","meinertrl","06/21/2007","converted","10/29/1998","02/23/2004",""
122,"MER","WV","060",1173,"MORGANTOWN COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","gjones","12/12/2000","converted","10/29/1998","02/23/2004",""
123,"MER","SC","000",124,"S CAROLINA WG HQ SQ","SENIOR","01/01/1900","ACTIVE","UNIT","converted","05/01/1983","converted","10/29/1998","02/23/2004",""
124,"MER","SC","001",687,"SOUTH CAROLINA WING HQ","WING","01/01/1900","ACTIVE","WING","converted","09/17/1996","converted","10/29/1998","02/23/2004","Wing commander e-mail cc@scwgcap.org."
125,"MER","SC","056",124,"COASTAL CHARLESTON COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","smithfh2","03/21/2013","converted","10/29/1998","02/23/2004","Meets on Charleston AFB in Bldg 246 on the third floor...Cadets meet weekly and Seniors meet on the 1st  3rd Monday of the month."
127,"NCR","SD","000",1363,"SOUTH DAKOTA WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","08/01/1983","converted","10/29/1998","02/23/2004",""
129,"SER","TN","000",130,"TENNESSEE WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","08/01/1983","converted","10/29/1998","02/23/2004",""
130,"SER","TN","001",179,"TENNESSEE WING HQ","WING","01/01/1900","ACTIVE","WING","converted","08/18/1998","converted","10/29/1998","02/23/2004","McGhee Tyson Airport, TAC Air Building 9024, 2nd Floor - Call for access (865-342-4880)."
131,"SER","TN","015",1203,"GREENEVILLE COMPOSITE SQUADRON","COMPOSITE","01/01/1900","ACTIVE","UNIT","becka2","10/10/2014","converted","10/29/1998","02/23/2004",""
132,"SER","TN","036",1149,"TULLAHOMA COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","jonesgd","01/05/2001","converted","10/29/1998","02/23/2004","Staff Meeting, Normally begins at 1800 on first Thursday of Month (see Schedule)"
134,"SER","TN","093",1203,"SEVIER COUNTY FLIGHT","FLIGHT","01/01/1900","ACTIVE","UNIT","jgriggs","01/05/2009","converted","10/29/1998","02/23/2004",""
135,"SER","TN","122",130,"HQ GROUP 4","GROUP","01/01/1900","ACTIVE","GROUP","becka2","09/18/2015","converted","10/29/1998","02/23/2004","Please call if you wish to attend. We rotate our meetings to various squadrons across the group."
136,"SER","TN","148",1203,"MCGHEE-TYSON COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","jonesgd","01/05/2001","converted","10/29/1998","02/23/2004","McGhee Tyson Composite which consists of both cadets and senior members meet weekly on Thursdays. 3rd Thursday meeting at Maryville Church of Christ. Our squadron office is located within the fenced perimeter of McGhee Tyson Airport. Our meeting starts at 1815 and ends at 2100. Unit members meet in front of Gate 16 for entry as unit office is located within the fenced secured area.  Red badge access if required, if not individual must be escorted by someone that is badged."
137,"SWR","TX","000",362,"TEXAS WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","05/01/1983","converted","10/29/1998","02/23/2004",""
138,"SWR","TX","026",2537,"CORPUS CHRISTI COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","greenjl5","06/02/2011","converted","10/29/1998","02/23/2004","The unit meets at the Lanmon Aerial Photography Building at Corpus Christi International Airport. "
139,"SWR","TX","262",2239,"TEXOMA COMPOSITE SQUADRON","COMPOSITE","01/01/1900","ACTIVE","UNIT","thomasbr3","01/10/2006","converted","10/29/1998","02/23/2004",""
141,"SWR","TX","999",362,"TEXAS LEGISLATIVE SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","hament","02/03/1999","converted","10/29/1998","02/23/2004",""
142,"RMR","UT","000",451,"UTAH WING HQ SQ","SENIOR","01/01/1900","ACTIVE","UNIT","converted","05/01/1983","converted","10/29/1998","02/23/2004",""
144,"NER","VT","000",145,"VERMONT WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","08/01/1983","converted","10/29/1998","02/23/2004",""
145,"NER","VT","001",265,"VERMONT WING HQ","WING","01/01/1900","ACTIVE","WING","converted","09/25/1998","converted","10/29/1998","02/23/2004","Please email for location of training and details"
146,"NER","VT","007",145,"SPRINGFIELD COMPOSITE SQUADRON","COMPOSITE","01/01/1900","ACTIVE","UNIT","jgriggs","10/21/2008","converted","10/29/1998","02/23/2004","Packages Leave at airport terminal"
147,"MER","VA","000",229,"VIRGINIA WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","08/01/1983","converted","10/29/1998","02/23/2004","THIS IS THE VAWG UNIT FOR INACTIVE MEMBERS.  IT DOES NOT MEET AND DOES NOT ENGAGE IN CAP ACTIVITIES.  MEMBERS OF THIS UNIT MAY ONLY PARTICIPATE IN CAP ACTIVITIES IF THEY MEET CAP CURRENCY REQUIREMENTS.  "
149,"MER","VA","064",2659,"BYRD FIELD FLIGHT","FLIGHT","01/01/1900","ACTIVE","UNIT","neesemk","02/22/2016","converted","10/29/1998","02/23/2004",""
150,"MER","VA","089",2659,"WEST RICHMOND CADET SQDN","CADET","01/01/1900","ACTIVE","UNIT","covelja","09/14/2014","converted","10/29/1998","02/23/2004","Please check out our new website athttpwestrichmond.vawg.cap.gov for the more information."
151,"PCR","WA","000",447,"WASHINGTON WING HQ RESERVE SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","jgriggs","12/06/2006","converted","10/29/1998","02/23/2004",""
152,"PCR","WA","011",2664,"COLUMBIA BASIN COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","lantzrn","09/19/2014","converted","10/29/1998","02/23/2004",""
153,"PCR","WA","082",2667,"TRI-CITIES COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","lantzrn","09/19/2014","converted","10/29/1998","02/23/2004","1875 Terminal Drive"
154,"MER","WV","000",1173,"WEST VIRGINIA WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","05/01/1983","converted","10/29/1998","02/23/2004",""
155,"GLR","WI","000",156,"WISCONSIN WING RESERVE SQUADRON","SENIOR","01/01/1900","ACTIVE","UNIT","jgriggs","04/21/2008","converted","10/29/1998","02/23/2004",""
156,"GLR","WI","001",177,"WISCONSIN WING HQ","WING","01/01/1900","ACTIVE","WING","converted","10/16/1998","converted","10/29/1998","02/23/2004",""
160,"RMR","WY","000",929,"WYOMING WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","schneidergn","04/26/2013","converted","10/29/1998","02/23/2004",""
161,"PCR","AK","000",626,"ALASKA WING HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","08/01/1983","converted","10/29/1998","02/23/2004",""
162,"PCR","HI","000",163,"Hawaii Wing Reserve Squadron","SENIOR","01/01/1900","ACTIVE","UNIT","joneskc5","03/28/2014","converted","10/29/1998","02/23/2004",""
163,"PCR","HI","001",434,"HAWAII WING HEADQUARTERS SQUADRON","WING","01/01/1900","ACTIVE","WING","joneskc5","03/28/2014","converted","10/29/1998","02/23/2004",""
164,"PCR","HI","043",163,"LYMAN FIELD COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","joneskc5","03/28/2014","converted","10/29/1998","02/23/2004","2nd Tuesday evening of month-scheduled; 4th Tuesday eveningmonth additional training night as needed."
165,"PCR","HI","057",163,"MAUI COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","joneskc5","03/28/2014","converted","10/29/1998","05/04/2015","Call 808-877-6117   Unit located next to control tower at Kahului Airport"
166,"PCR","HI","073",163,"KAUAI COMPOSITE SQDN","COMPOSITE","01/01/1900","ACTIVE","UNIT","joneskc5","03/28/2014","converted","10/29/1998","02/23/2004",""
168,"SER","PR","148",1186,"GROUP 4, PUERTO RICO WING","GROUP","01/01/1900","ACTIVE","GROUP","joneskc5","09/05/2012","converted","10/29/1998","02/23/2004",""
174,"SER","PR","901",956,"ST CROIX COMPOSITE SQUADRON","COMPOSITE","01/01/1900","ACTIVE","UNIT","cubanola","06/03/2013","converted","10/29/1998","02/23/2004",""
175,"MER","MER","000",687,"MIDDLE EAST REGION HQ SQDN","SENIOR","01/01/1900","ACTIVE","UNIT","converted","05/01/1983","converted","10/29/1998","02/23/2004",""
176,"GLR","GLR","000",177,"GREAT LAKES REGION HQ SQ","SENIOR","01/01/1900","ACTIVE","UNIT","converted","05/01/1983","converted","10/29/1998","02/23/2004",""
